Geneid	HISAT2 on data 144 and data 1: aligned reads (BAM)
AFUB_007940	933
AFUB_007950	1518
AFUB_007960	6831
AFUB_007970	3217
AFUB_007980	1167
AFUB_007990	1612
AFUB_008000	2752
AFUB_008010	1861
AFUB_008020	7379
AFUB_008030	5173
AFUB_008040	1854
AFUB_008050	13193
AFUB_008060	701
AFUB_008070	3782
AFUB_008080	2207
AFUB_008090	1466
AFUB_008100	3103
AFUB_008110	1092
AFUB_008120	1847
AFUB_008130	13927
AFUB_008140	841
AFUB_008150	3166
AFUB_008160	669
AFUB_008170	7727
AFUB_008180	0
AFUB_008190	0
AFUB_008200	0
AFUB_008210	0
AFUB_008220	0
AFUB_008230	1164
AFUB_008240	1701
AFUB_008250	2686
AFUB_008260	13687
AFUB_008270	2043
AFUB_008280	580
AFUB_008290	3078
AFUB_008300	3449
AFUB_008310	3152
AFUB_008320	3190
AFUB_008330	2207
AFUB_008340	2878
AFUB_008350	1362
AFUB_008360	3416
AFUB_008370	577
AFUB_008380	4271
AFUB_008390	6793
AFUB_008400	1157
AFUB_008410	654
AFUB_008420	912
AFUB_008430	7699
AFUB_008440	3520
AFUB_008450	4377
AFUB_008460	3280
AFUB_008470	864
AFUB_008480	1679
AFUB_008490	4629
AFUB_008500	1490
AFUB_008510	1175
AFUB_008520	20876
AFUB_008530	504
AFUB_008540	217
AFUB_008550	1938
AFUB_008560	1499
AFUB_008570	2220
AFUB_008580	347
AFUB_008590	3070
AFUB_008600	1951
AFUB_008610	806
AFUB_008620	7034
AFUB_008630	4285
AFUB_008640	517
AFUB_008650	284
AFUB_008660	1367
AFUB_008670	2237
AFUB_008680	178
AFUB_008690	926
AFUB_008700	8416
AFUB_008710	4075
AFUB_008720	8
AFUB_008730	505
AFUB_008740	3230
AFUB_008750	6578
AFUB_008760	76
AFUB_008770	10
AFUB_008780	4
AFUB_008790	0
AFUB_008800	1438
AFUB_008810	441
AFUB_008820	4011
AFUB_008830	803
AFUB_008840	958
AFUB_008850	4396
AFUB_008860	1635
AFUB_008870	412
AFUB_008880	190
AFUB_008890	16493
AFUB_008900	2324
AFUB_008910	2040
AFUB_008920	1601
AFUB_008930	770
AFUB_008940	4038
AFUB_008950	14370
AFUB_008960	4487
AFUB_008970	207
AFUB_008980	2053
AFUB_008990	1793
AFUB_009000	1184
AFUB_009010	837
AFUB_009020	955
AFUB_009030	9332
AFUB_009040	15626
AFUB_009050	1852
AFUB_009060	3377
AFUB_009070	2356
AFUB_009080	13154
AFUB_009090	4242
AFUB_009100	715
AFUB_009110	2312
AFUB_009120	3835
AFUB_009130	4001
AFUB_009140	1594
AFUB_009150	1015
AFUB_009160	119
AFUB_009170	942
AFUB_009180	4726
AFUB_009190	1504
AFUB_009199	311
AFUB_009200	370
AFUB_009210	868
AFUB_009220	22338
AFUB_009230	3127
AFUB_009240	2608
AFUB_009250	11944
AFUB_009260	1096
AFUB_009270	3333
AFUB_009280	4227
AFUB_009290	6587
AFUB_009300	2689
AFUB_009310	2948
AFUB_009320	263
AFUB_009330	1584
AFUB_009340	1239
AFUB_009350	909
AFUB_009360	510
AFUB_009370	1316
AFUB_009380	11268
AFUB_009390	1550
AFUB_009400	498
AFUB_009410	5108
AFUB_009420	134
AFUB_009430	4275
AFUB_009440	65
AFUB_009450	513
AFUB_009460	4599
AFUB_009470	7452
AFUB_009480	132
AFUB_009490	3201
AFUB_009500	294
AFUB_009510	87
AFUB_009520	96
AFUB_009530	66
AFUB_009540	16548
AFUB_009550	89
AFUB_009560	6
AFUB_009570	0
AFUB_009580	32
AFUB_009590	93
AFUB_009600	1676
AFUB_009610	2902
AFUB_009620	3030
AFUB_009630	3365
AFUB_009640	1107
AFUB_009650	379
AFUB_009660	7
AFUB_009670	7
AFUB_009680	556
AFUB_009690	892
AFUB_009705	9649
AFUB_009720	6160
AFUB_009730	4495
AFUB_009740	2002
AFUB_009750	2587
AFUB_009760	26812
AFUB_009770	1744
AFUB_009780	3139
AFUB_009790	556
AFUB_009800	9722
AFUB_009810	729
AFUB_009820	5084
AFUB_009830	1454
AFUB_009840	294
AFUB_009850	1747
AFUB_009860	5367
AFUB_009870	2462
AFUB_009880	190
AFUB_009890	0
AFUB_009900	2043
AFUB_009910	428
AFUB_009920	1024
AFUB_009930	1055
AFUB_009940	8329
AFUB_009950	2233
AFUB_009960	3701
AFUB_009970	424
AFUB_009980	6488
AFUB_009990	973
AFUB_010000	12475
AFUB_010010	100
AFUB_010020	3901
AFUB_010030	2418
AFUB_010040	1882
AFUB_010050	17113
AFUB_010060	922
AFUB_010070	310
AFUB_010080	6368
AFUB_010090	1868
AFUB_010100	3008
AFUB_010110	5805
AFUB_010120	690
AFUB_010130	1979
AFUB_010140	1874
AFUB_010150	352
AFUB_010160	628
AFUB_010170	1956
AFUB_010180	8515
AFUB_010190	3264
AFUB_010200	1040
AFUB_010210	333
AFUB_010220	1050
AFUB_010230	2326
AFUB_010240	776
AFUB_010250	187
AFUB_010260	283
AFUB_010270	994
AFUB_010280	5804
AFUB_010290	97
AFUB_010300	18555
AFUB_010310	583
AFUB_010320	1302
AFUB_010330	34070
AFUB_010340	1793
AFUB_010350	4694
AFUB_010360	3814
AFUB_010370	3107
AFUB_010380	979
AFUB_010390	12704
AFUB_010400	1080
AFUB_010410	1694
AFUB_010420	681
AFUB_010430	21
AFUB_010440	0
AFUB_010450	4
AFUB_010460	18
AFUB_010470	143
AFUB_010480	0
AFUB_010490	784
AFUB_010500	2430
AFUB_010510	6169
AFUB_010520	807
AFUB_010530	61
AFUB_010540	11395
AFUB_010550	3199
AFUB_010560	23545
AFUB_010570	516
AFUB_010580	1380
AFUB_010590	4856
AFUB_010600	37
AFUB_010610	2134
AFUB_010620	14994
AFUB_010630	380
AFUB_010640	94
AFUB_010650	9333
AFUB_010660	54
AFUB_010670	3
AFUB_010680	1077
AFUB_010690	2
AFUB_010700	32
AFUB_010710	51
AFUB_010720	217
AFUB_010730	51
AFUB_010740	2
AFUB_010750	0
AFUB_010760	7
AFUB_010770	4
AFUB_010780	8
AFUB_010790	19
AFUB_010800	60
AFUB_010810	897
AFUB_010820	2872
AFUB_010830	294
AFUB_010840	549
AFUB_010850	23544
AFUB_010860	1206
AFUB_010870	2535
AFUB_010880	10358
AFUB_010890	9027
AFUB_010900	2616
AFUB_010910	1703
AFUB_010920	5504
AFUB_010930	828
AFUB_010940	1950
AFUB_010950	797
AFUB_010960	350
AFUB_010970	266
AFUB_010980	1085
AFUB_010990	2581
AFUB_011000	111
AFUB_011010	4
AFUB_011020	6
AFUB_011030	6
AFUB_011040	12
AFUB_011050	49
AFUB_011060	882
AFUB_011070	800
AFUB_011080	49
AFUB_011090	109
AFUB_011100	4442
AFUB_011110	599
AFUB_011120	1137
AFUB_011130	881
AFUB_011140	16045
AFUB_011150	3
AFUB_011160	96
AFUB_011170	16354
AFUB_011180	97
AFUB_011190	145
AFUB_011200	3648
AFUB_011210	2716
AFUB_011220	15883
AFUB_011230	1868
AFUB_011240	2382
AFUB_011250	51
AFUB_011260	327
AFUB_011270	13
AFUB_011280	209
AFUB_011290	5
AFUB_011300	533
AFUB_011310	1972
AFUB_011320	4619
AFUB_011330	450
AFUB_011340	10456
AFUB_011350	1429
AFUB_011360	88
AFUB_011370	4019
AFUB_011380	2442
AFUB_011390	2069
AFUB_011400	14322
AFUB_011410	17801
AFUB_011420	6115
AFUB_011430	704
AFUB_011440	446
AFUB_011450	9476
AFUB_011460	678
AFUB_011470	4505
AFUB_011480	227
AFUB_011490	1600
AFUB_011500	4125
AFUB_011510	522
AFUB_011520	344
AFUB_011530	1403
AFUB_011540	2779
AFUB_011550	1352
AFUB_011560	1145
AFUB_011570	29
AFUB_011580	1638
AFUB_011590	1315
AFUB_011600	713
AFUB_011610	778
AFUB_011620	5899
AFUB_011630	240
AFUB_011640	15315
AFUB_011650	6226
AFUB_011660	238
AFUB_011670	1278
AFUB_011680	38
AFUB_011690	67
AFUB_011700	233
AFUB_011710	10
AFUB_011720	5706
AFUB_011730	3105
AFUB_011740	275
AFUB_011750	2382
AFUB_011760	1461
AFUB_011770	450
AFUB_011780	444
AFUB_011790	37
AFUB_011800	11917
AFUB_011810	5277
AFUB_011820	18054
AFUB_011830	12
AFUB_011840	3633
AFUB_011850	2232
AFUB_011860	6618
AFUB_011870	139
AFUB_011880	39
AFUB_011890	2
AFUB_011900	0
AFUB_011910	160
AFUB_011920	337
AFUB_011930	183
AFUB_011940	5
AFUB_011950	1047
AFUB_011960	6210
AFUB_011970	16
AFUB_011980	164
AFUB_011990	741
AFUB_012000	28628
AFUB_012010	2803
AFUB_012020	19043
AFUB_012030	376
AFUB_012040	1133
AFUB_012050	223
AFUB_012060	4180
AFUB_012070	249
AFUB_012080	17876
AFUB_012090	1928
AFUB_012100	4450
AFUB_012110	96
AFUB_012120	509
AFUB_012130	3927
AFUB_012140	609
AFUB_012150	8036
AFUB_012160	33019
AFUB_012170	4720
AFUB_012180	88
AFUB_012190	543
AFUB_012200	4915
AFUB_012210	1987
AFUB_012220	1091
AFUB_012230	2927
AFUB_012240	2639
AFUB_012250	873
AFUB_012260	2856
AFUB_012270	12923
AFUB_012280	1015
AFUB_012290	837
AFUB_012300	1596
AFUB_012310	1047
AFUB_012320	319
AFUB_012330	7
AFUB_012340	1703
AFUB_012350	571
AFUB_012360	138
AFUB_012370	19571
AFUB_012380	4413
AFUB_012390	2311
AFUB_012400	5973
AFUB_012410	3371
AFUB_012420	6296
AFUB_012430	3191
AFUB_012440	5655
AFUB_012450	404
AFUB_012460	1801
AFUB_012470	881
AFUB_012480	276
AFUB_012490	2666
AFUB_012500	1246
AFUB_012510	438
AFUB_012520	438
AFUB_012530	3659
AFUB_012540	8453
AFUB_012550	2434
AFUB_012560	57
AFUB_012570	4826
AFUB_012580	7232
AFUB_012590	62
AFUB_012600	92
AFUB_012610	793
AFUB_012620	24397
AFUB_012630	1170
AFUB_012640	2654
AFUB_012650	1124
AFUB_012660	397
AFUB_012670	1760
AFUB_012680	916
AFUB_012690	3269
AFUB_012700	1749
AFUB_012710	996
AFUB_012720	769
AFUB_012730	1820
AFUB_012740	12215
AFUB_012750	2607
AFUB_012760	81
AFUB_012770	3629
AFUB_012780	899
AFUB_012790	3353
AFUB_012800	6350
AFUB_012810	464
AFUB_012820	3691
AFUB_012830	10598
AFUB_012840	1815
AFUB_012850	538
AFUB_012860	423
AFUB_012870	943
AFUB_012880	1759
AFUB_012890	702
AFUB_012900	27
AFUB_012910	1308
AFUB_012920	1396
AFUB_012930	157
AFUB_012940	17508
AFUB_012950	976
AFUB_012960	3969
AFUB_012970	2004
AFUB_012980	8148
AFUB_012990	27009
AFUB_013000	1459
AFUB_013010	634
AFUB_013020	108
AFUB_013030	1604
AFUB_013040	433
AFUB_013050	192
AFUB_013060	6711
AFUB_013070	2771
AFUB_013080	4110
AFUB_013090	992
