Geneid	HISAT2 on data 67 and data 1: aligned reads (BAM)
AFUB_012350	581
AFUB_012360	161
AFUB_012370	39328
AFUB_012380	5699
AFUB_012390	2010
AFUB_012400	4930
AFUB_012410	2433
AFUB_012420	3738
AFUB_012430	2059
AFUB_012440	5342
AFUB_012450	407
AFUB_012460	1508
AFUB_012470	661
AFUB_012480	92
AFUB_012490	2760
AFUB_012500	1766
AFUB_012510	391
AFUB_012520	360
AFUB_012530	2808
AFUB_012540	6721
AFUB_012550	2772
AFUB_012560	26
AFUB_012570	5402
AFUB_012580	6167
AFUB_012590	68
AFUB_012600	115
AFUB_012610	1086
AFUB_012620	16967
AFUB_012630	684
AFUB_012640	1904
AFUB_012650	905
AFUB_012660	681
AFUB_012670	2663
AFUB_012680	725
AFUB_012690	2935
AFUB_012700	1256
AFUB_012710	467
AFUB_012720	832
AFUB_012730	1666
AFUB_012740	3774
AFUB_012750	2371
AFUB_012760	62
AFUB_012770	5300
AFUB_012780	970
AFUB_012790	2563
AFUB_012800	5815
AFUB_012810	585
AFUB_012820	5865
AFUB_012830	4660
AFUB_012840	1001
AFUB_012850	328
AFUB_012860	292
AFUB_012870	1040
AFUB_012880	1118
AFUB_012890	513
AFUB_012900	34
AFUB_012910	1392
AFUB_012920	2170
AFUB_012930	125
AFUB_012940	15651
AFUB_012950	1490
AFUB_012960	6499
AFUB_012970	2212
AFUB_012980	13305
AFUB_012990	23208
AFUB_013000	3386
AFUB_013010	566
AFUB_013020	66
AFUB_013030	1512
AFUB_013040	82
AFUB_013050	81
AFUB_013060	7862
AFUB_013070	3232
AFUB_013080	4553
