Geneid	HISAT2 on Control2 (BAM)
237313	2
76157	2
18634	1324
26408	487
17761	630
73811	0
621697	6
72567	1166
71804	9
29863	213
52906	34
100038717	0
100504283	0
17863	2
56422	1329
73990	0
237320	6018
76924	2
67692	0
432436	0
20393	534
114671	0
319887	1
379043	135
667281	2
606736	0
56554	160
100038752	0
353169	2
237336	210
100504411	0
100038582	0
21412	121
14051	6
20042	2365
100529074	7
100529075	0
76306	78
26464	699
22361	450
111174	0
209512	2
493809	0
209513	0
215854	0
215855	0
215856	0
209517	0
435206	0
276742	0
435207	0
215859	0
382348	0
494546	0
503558	0
53331	427
100862153	0
59012	0
14219	140
18605	401
209558	831
70208	389
11846	19742
432442	125
13822	618
100504474	1059
73803	0
215866	0
77220	0
100040851	0
268288	3
237339	117
667572	0
73910	348
16773	98
100040961	12
19272	1642
210757	8
100504516	0
114676	0
67719	0
67412	0
212448	0
52665	424
68031	400
72780	117
100504540	0
66311	36
73681	118
100504586	432
66847	397
211329	49
15214	5
69692	14
21987	124
100041294	3
268291	482
432450	5
76757	0
442820	0
100862254	0
215890	0
215895	2
57430	210
212892	40
72580	108
414093	16
66521	459
692132	0
270711	0
103511	8
215900	22
212898	261
22110	625
72480	50
319638	420
12813	0
14302	129
100041585	22
319415	0
15182	540
17118	475
215919	0
16775	173
66337	10
71924	29
327743	5
14360	266
100504626	0
103213	84
327744	11
19714	388
100504659	0
213332	39
75299	6
72045	1
100041085	341
215928	7
215929	1000
72472	1288
67239	176
67371	257
19850	3
11702	446
78334	221
70840	0
70503	401
327747	1
71713	573
83767	27
100504721	12
140741	0
103199	375
633979	0
268294	249
171580	43
20598	483
73075	10
53599	8388
75973	191
70538	4
629461	0
100628609	0
103268	132
140742	286
213402	0
624784	214
56484	235
215951	201
666540	0
54198	1356
21907	0
14628	368
140740	3270
268297	9
109205	0
74530	0
71365	254
331623	84
67851	336
100862325	0
12484	72
414125	2
69443	0
76563	113
170728	616
11630	632
70365	0
11793	1123
100316688	0
12142	14
19072	601
78977	0
23828	0
380669	0
209462	92
320363	0
100418235	0
14806	0
100504076	0
77987	625
20464	0
14727	42
14728	117
77296	0
210198	0
320995	0
71090	0
215031	0
19886	0
66686	119
94221	770
66650	0
52014	1319
629689	0
22639	0
215085	0
100862347	0
100038725	128
100502820	10
18821	7
432460	0
100502868	0
71567	73
66403	205
100042554	0
75906	0
17155	3983
100502920	10
544696	206
73390	35
14609	67
100862378	0
791298	0
74928	0
15500	581
56442	4408
18768	36
12140	40
100502970	0
57319	627
100504180	0
74399	0
245263	0
791309	0
70297	632
110829	566
19386	1469
76138	68
13608	0
103505	0
237353	0
103080	315
268301	106
18451	366
69836	1241
18302	529
215999	921
216001	804
56709	556
100503588	4
74747	145
52717	601
69090	278
94214	9
53374	20
19156	10938
22295	3
74048	204
100302688	0
71279	144
107449	111
100503834	0
73616	2
327760	0
13180	5217
20397	1760
65971	0
237360	29
100862379	0
18646	14
27355	355
18119	13
13688	1664
100503821	9
216011	126
237362	0
67895	2704
20224	1852
71767	1190
71361	440
404634	12
100628583	0
12817	69
432466	11604
69894	74
11925	0
70423	132
21337	0
15275	122
70162	0
216019	4
338359	294
74706	0
30930	931
19073	153
72320	283
56200	609
100862011	0
94213	1042
216021	3
67500	789
100217463	0
52463	2
73132	1619
327762	279
70432	188
432467	86
67307	3625
68371	3757
53404	0
68802	0
641387	0
67345	975
100502721	2
93759	270
30045	212
216033	0
791346	0
216028	0
100502808	0
69433	0
28193	1666
108829	837
641340	361
13654	4
211488	469
100038508	0
216049	2
170799	0
71371	284
100503521	2
75148	0
73287	56
327766	39
69288	1307
320700	18
12534	68
11735	532
76551	629
69563	0
66859	57
71721	10
70911	0
319646	0
83675	41
319572	206
21780	922
216080	173
52637	2719
69718	1182
622812	0
108950	0
100040505	20
52696	829
327768	88
100861952	0
11994	4
71236	0
14687	4
76877	260
110279	794
74392	540
11540	47
544707	2
103149	5579
71125	2
68778	3720
67332	924
192734	4
14598	2
23887	75
100503432	0
71733	98
104248	361
13202	4969
103140	2776
14871	5583
75886	0
14872	1184
17319	1756
70377	53
20587	378
100861975	0
17385	14
103172	7403
333670	6
22364	7
333669	0
64453	188
64454	0
64452	0
15468	38
751554	0
20203	0
64451	137
18541	251
67523	0
76964	0
216119	74
54387	525
16987	1188
74953	41
76573	18
14317	8188
12834	199
100861980	0
12833	200
59093	24
100038479	0
20509	111
12822	16626
100169878	6
80294	400
110532	268
100045653	0
108707	720
16414	251
108705	4769
20610	1731
22213	840
100316811	1
100502831	0
670895	0
16697	0
100009614	0
100502921	0
16694	0
100502953	0
77763	0
100041250	0
100041261	0
634517	0
100041281	0
634504	0
675294	0
100503388	0
670880	0
100040299	0
100191037	0
544710	0
622629	0
100041351	0
252974	8
75188	0
237387	2598
28240	79
67884	116
18641	1039
11634	0
54427	0
50723	14
100503488	0
28295	751
110816	276
216131	478
28169	4082
18114	1378
13014	653
216134	1117
791283	2
258224	0
216136	839
71709	110
257883	0
12365	0
70976	0
20513	0
258305	0
257734	0
259163	0
18372	0
259044	0
259074	0
259042	0
18357	0
72128	202
624765	0
216144	0
624845	0
625029	0
50784	379
70427	254
21830	0
237397	0
216148	2
100503607	0
382384	0
17123	0
110012	457
216150	1233
16904	15
12215	8799
15166	9
216151	501
67112	0
70294	491
83554	6
73106	0
100503626	2
18483	95
78906	10
414101	12
19205	1872
216152	58
19152	11
50701	6
100503642	310
11537	2
216154	394
100862144	0
109284	378
114229	17
13496	55
216156	931
170483	37
216157	2062
12798	182
27403	176
70719	269
66420	573
625249	3330
216161	641
20869	1547
100503659	48
66043	1832
100862154	0
59090	671
12696	354
69770	58
13637	7
68114	202
75406	1468
14431	3233
70248	834
103232	20
20054	3469
23805	16
66374	400
18551	228
70335	8911
66548	5
216166	45
237400	56
17192	993
100503758	1
66594	0
21423	461
246086	0
67331	2
66932	703
118445	67
216169	1283
100113398	15
100862189	0
56214	460
103236	1427
208198	555
17347	1559
208228	124
71564	192
11776	1547
208266	446
78670	417
20222	306
11705	4
71912	0
18245	5024
100316778	0
237403	0
66094	169
73218	440
432478	2
30055	1329
16907	229
17873	23
14708	41
208666	0
106947	233
52551	1259
50492	228
208677	5594
26396	2285
16969	734
59004	245
13629	25274
100217454	3
100503773	0
13144	428
69678	0
69564	0
16467	0
103406	28
17179	12
66047	412
57267	915
100526465	0
27375	764
18717	808
70312	357
21390	40
209047	4
15353	566
73822	163
432479	152
56371	339
102115	495
100503793	6
72273	6
18029	1739
319586	0
103425	1219
13611	21
14676	3
14672	1155
14797	8441
21886	335
114606	17
268319	33
50721	118
70615	182
100233208	6
666448	0
73610	0
100040944	0
666738	0
666501	0
331188	1
666548	0
100038681	2
666790	0
408062	65
327780	4
216177	72
237411	79
100503696	0
237412	22
432480	0
100862390	0
544717	201
21665	97
74782	11
67933	203
18045	660
70003	0
50493	2310
66341	5
58250	6
338365	261
28109	316
216188	2
319277	641
216190	600
69784	2
77976	101
216197	75
442847	0
216198	401
100503200	19
70428	457
71137	87
625690	0
237422	270
14202	2
103266	305
74238	86
12952	178
74007	0
626858	0
626940	0
100503271	2
103136	238
72843	197
67341	0
28088	1464
270757	0
69754	407
27204	94
78170	1
21859	427
100503291	0
627035	0
382395	0
66263	38
22027	23271
103220	68
103466	430
192188	1705
83559	0
76640	0
100038674	0
17172	0
18478	19411
16000	17273
100503785	1
22172	0
110312	0
75317	12
626115	0
69736	130
67282	364
71712	28
432486	354
20962	27
212862	1899
109272	0
20728	44
