Geneid	Mouse_Uninf_3_SRR17015120
16545	0
13516	0
100038699	0
66716	0
791295	0
667438	0
67972	15559
382406	386
14426	1623
100861874	1
67603	3860
100504202	2
100417125	3
71832	40
17311	263
100043224	0
100043227	0
100043231	0
100043235	0
100043239	0
100043247	0
237500	944
216274	595
68281	162
66605	0
67569	0
100526516	0
67405	0
237504	0
216285	0
74978	0
103098	0
100861880	0
100861891	0
100861901	0
637578	0
100043292	0
278279	110
327812	6
216292	315
52713	750
639162	2
321001	0
327814	0
380660	0
108030	0
17877	0
17878	0
237523	0
628870	0
17931	4593
114774	11
20979	0
368203	0
260315	0
109335	0
52679	47
75630	0
13008	66
320150	1767
432502	27
237542	11512
71769	202
53605	4743
382421	41
21664	22
71321	0
629206	0
52705	2103
73690	642
69286	0
67537	0
544736	0
353025	0
268345	2
69355	0
382423	3518
237553	0
216343	0
100861951	0
66687	2999
668041	268
216344	1957
100038558	14
67226	916
66816	439
216345	7172
14160	2
100861970	0
77798	0
216350	11
19279	4
619332	0
19263	1
58802	2
67342	0
100504412	0
72068	2930
100504423	123
72286	0
237558	2
216363	256
71086	74
103175	9
544741	167
382427	0
100038610	3
237560	3
100862026	0
12461	6825
327826	1831
64050	1713
77397	4
17105	357549
17110	10773
432508	5675
70574	370
17246	2930
215436	506
103468	1474
100862040	469
215449	5271
71067	2
17245	855
50929	0
116849	1
668198	0
668203	0
668205	0
668209	0
668213	0
668216	0
15978	14
69181	1315
100038589	4
97640	0
73400	0
71902	4616
67081	0
74053	0
75321	0
117599	1576
73914	1605
68212	811
100504548	1
66225	70
15364	5
321010	42
320626	4
791076	0
100038546	0
70874	3
320183	29
100504616	26
380664	1031
24117	0
100504636	0
74694	209
75612	11079
192678	6020
56480	3304
73192	3402
216393	0
270802	266
117600	48
216394	0
668272	91
216395	863
100043513	0
54140	0
319272	193
319468	3918
387251	7
67074	5562
14479	4317
100042958	6
268354	0
100505018	0
75030	2
20503	869
320398	175
68876	181
52468	3501
723962	3
723882	0
11567	24
66399	344
100504608	0
17299	576
13115	9
216438	64
12567	3719
67125	1808
100504703	39
216439	1092
216440	5979
14421	2502
216441	128
52666	3
80904	406
100038591	65
117150	1515
16572	23
69654	2650
110962	840
13198	279
216443	1995
216445	3019
14632	75
16326	0
16325	0
71750	1366
237611	28
407790	4
108037	1026
104080	0
16971	26575
20852	9339
17937	1242
72243	28
210035	500
432516	5
21334	0
320080	1079
11536	57
107605	20
103142	13
19683	6
380674	0
216453	1
216454	0
54150	0
70061	0
27400	0
19075	162
17938	4098
56351	824
100862107	13
11947	16466
751518	15
116848	7089
56516	1118
216456	3
66701	314
17339	2
21853	215
28194	4
103161	39
20847	3091
83430	1
103135	1118
56530	1186
12974	5613
