Geneid	PCA2-infected_7h_SRR15896668
13629	1840
100217454	1
100503773	0
13144	777
69678	0
69564	1
16467	0
103406	4
17179	773
66047	6172
57267	166
27375	47
18717	502
70312	753
21390	90
209047	2
15353	1425
73822	23
432479	37
56371	1087
102115	1946
100503793	48
72273	29
18029	1322
319586	2
103425	1703
13611	395
14676	1226
14672	550
14797	5961
21886	29
114606	117
268319	18
50721	412
70615	292
100233208	4
666448	4
666458	0
73610	1
100040944	0
666738	0
666501	1
331188	0
666542	1
666548	0
100038681	106
666790	8
100503645	21
408062	128
327780	3
666584	8
216177	197
100038633	1
237411	218
100503696	0
237412	31
432480	0
544717	3320
21665	218
74782	14
67933	127
18045	2103
70003	0
50493	1639
66341	68
216185	188
58250	469
338365	2
28109	1198
216188	13
319277	764
216190	124
69784	76
77976	2
216197	1133
216198	296
100503200	25
70428	569
71137	0
625690	6
237422	214
14202	13
103266	652
74238	163
12952	396
666974	30
74007	13
626858	2
103136	1475
72843	360
67341	3
28088	4101
270757	19
69754	903
27204	68
78170	1
21859	191
100503291	0
627035	0
382395	0
66263	701
22027	23524
103220	34
103466	160
192188	0
83559	0
76640	1
100038674	0
17172	0
18478	0
16000	3
100503785	0
22172	10
110312	1
75317	215
626115	52
69736	2350
67282	1330
71712	168
432486	1023
20962	42
212862	218
109272	0
20728	5
237433	16
104303	372
70683	1310
216225	0
320091	0
237436	1116
20186	0
216227	0
213326	192
69002	9
67019	1068
75089	696
77531	0
100043039	229
100503963	0
544719	0
11783	469
67454	580
18674	33482
21917	8490
100503982	10
723955	0
100041799	0
110333	0
17997	667
380653	0
380654	7
237459	1013
13713	441
432488	170
16993	3715
15109	3
71761	10
237465	24
69878	304
74454	5
57764	49
667338	17
100504069	2893
327799	10
56307	14604
74923	0
723908	0
215008	224
13998	130
22025	262
66414	10248
215472	0
319880	9
67723	187
77048	1659
100504100	20
54712	906
12905	215
216233	31
67270	9568
93765	739
71207	1716
414105	3
216238	1501
100504142	90
100504157	0
12226	567
13179	0
17022	0
16545	0
13516	0
100038699	0
66716	0
791295	0
67972	1606
382406	514
14426	142
67603	303
667502	0
100504202	2
71832	5
17311	4
100043224	0
100043227	0
100043231	0
100043235	0
100043239	0
100043247	0
237500	199
216274	1265
68281	367
66605	0
100504217	0
67569	2
67405	0
237504	0
216285	0
74978	0
103098	9
100504227	0
100043292	0
278279	11
627573	14
327812	2
216292	207
52713	2257
639162	4
321001	1
327814	0
380660	0
108030	0
17877	0
17878	0
237523	0
628870	10
17931	1916
114774	2
100504290	3
20979	0
368203	0
260315	0
109335	0
52679	100
13008	762
320150	477
432502	2321
237542	1230
71769	51
53605	17796
382421	14
21664	63
52705	1657
73690	253
639527	6
69286	1
67537	1
544736	0
353025	0
268345	0
382423	5465
237553	0
100504370	0
216343	0
66687	1735
216344	313
100038558	26
67226	438
66816	634
216345	860
14160	2
77798	0
216350	1157
19279	8
619332	0
100504392	0
19263	0
58802	0
67342	0
100504412	0
72068	1777
100504423	52
237558	0
216363	339
71086	50
103175	1
382427	0
100038610	2
237560	0
12461	16314
327826	308
64050	3849
77397	0
17105	1237
17110	3
432508	2549
94118	0
70574	2
17246	938
215436	126
103468	1323
100504499	429
215449	6405
17245	296
50929	0
116849	0
15978	0
69181	89
100038589	0
97640	0
71902	1438
74053	1
117599	769
73914	380
68212	4395
100504548	3
66225	915
15364	137
321010	625
791076	18
100038546	0
70874	1
320183	7
100504616	15
380664	362
24117	0
100504636	0
74694	15
100043498	8
75612	221
192678	524
56480	710
73192	1874
216393	4
270802	131
117600	6
216394	0
668272	12
216395	1281
100043513	0
54140	0
319468	602
387251	2
67074	562
14479	3132
100042958	33
268354	0
75030	134
20503	73
320398	14
68876	1017
52468	592
723962	0
723882	0
11567	2
66399	3021
100504608	2
17299	2525
13115	2
216438	1
12567	11985
67125	1450
100504703	73
216439	92
216440	2676
14421	2374
216441	25
52666	257
80904	676
100038591	117
117150	155
16572	11
69654	2712
110962	504
13198	386
216443	1159
216445	554
14632	4
16326	0
16325	1
71750	824
237611	10
407790	8
108037	2258
104080	1
16971	58
20852	465
17937	43
